Total count, 9000000
;angle degrees, plus counts, neg counts, neither, total
127, 19763.0, 4811.0, 0.0, 50202.0
128, 19848.0, 4632.0, 0.0, 50049.0
129, 19921.0, 4444.0, 0.0, 49725.0
130, 20376.0, 4269.0, 0.0, 50162.0
131, 20534.0, 4071.0, 0.0, 50045.0
132, 20404.0, 3867.0, 0.0, 49947.0
133, 20532.0, 3691.0, 0.0, 49767.0
134, 20997.0, 3647.0, 0.0, 50416.0
135, 21172.0, 3467.0, 0.0, 50161.0
136, 20976.0, 3341.0, 0.0, 49943.0
137, 21354.0, 3100.0, 0.0, 49904.0
138, 21779.0, 3173.0, 0.0, 50334.0
139, 21712.0, 2987.0, 0.0, 49481.0
140, 21710.0, 2798.0, 0.0, 49705.0
141, 21949.0, 2651.0, 0.0, 49902.0
142, 21980.0, 2594.0, 0.0, 49858.0
143, 22202.0, 2527.0, 0.0, 49889.0
144, 22247.0, 2424.0, 0.0, 49945.0
145, 22502.0, 2204.0, 0.0, 49870.0
146, 22549.0, 2128.0, 0.0, 49885.0
147, 22912.0, 2101.0, 0.0, 50006.0
148, 23179.0, 1972.0, 0.0, 50064.0
149, 23046.0, 1831.0, 0.0, 49586.0
150, 23524.0, 1727.0, 0.0, 50051.0
151, 23591.0, 1640.0, 0.0, 49806.0
152, 23603.0, 1590.0, 0.0, 50037.0
153, 23601.0, 1595.0, 0.0, 49989.0
154, 23595.0, 1426.0, 0.0, 49884.0
155, 23781.0, 1336.0, 0.0, 50043.0
156, 23836.0, 1267.0, 0.0, 49858.0
157, 23876.0, 1182.0, 0.0, 50029.0
158, 24246.0, 1193.0, 0.0, 50419.0
159, 24181.0, 1039.0, 0.0, 49798.0
160, 24378.0, 1017.0, 0.0, 50367.0
161, 24736.0, 916.0, 0.0, 50338.0
162, 24938.0, 870.0, 0.0, 50446.0
163, 24752.0, 790.0, 0.0, 49925.0
164, 24532.0, 751.0, 0.0, 49427.0
165, 24618.0, 738.0, 0.0, 49940.0
166, 24860.0, 710.0, 0.0, 50188.0
167, 24977.0, 580.0, 0.0, 50283.0
168, 24817.0, 565.0, 0.0, 50049.0
169, 25163.0, 507.0, 0.0, 50039.0
170, 25060.0, 464.0, 0.0, 50279.0
171, 25006.0, 397.0, 0.0, 49845.0
172, 24998.0, 376.0, 0.0, 49885.0
173, 25014.0, 342.0, 0.0, 49944.0
174, 24908.0, 345.0, 0.0, 49572.0
175, 25071.0, 298.0, 0.0, 50013.0
176, 25035.0, 287.0, 0.0, 49950.0
177, 25170.0, 315.0, 0.0, 50299.0
178, 25395.0, 280.0, 0.0, 50151.0
179, 24945.0, 255.0, 0.0, 49802.0
180, 12535.0, 146.0, 0.0, 25088.0
181, 0.0, 0.0, 0.0, 0.0
182, 0.0, 0.0, 0.0, 0.0
183, 0.0, 0.0, 0.0, 0.0
184, 0.0, 0.0, 0.0, 0.0
185, 0.0, 0.0, 0.0, 0.0
186, 0.0, 0.0, 0.0, 0.0
187, 0.0, 0.0, 0.0, 0.0
188, 0.0, 0.0, 0.0, 0.0
189, 0.0, 0.0, 0.0, 0.0
190, 0.0, 0.0, 0.0, 0.0
191, 0.0, 0.0, 0.0, 0.0
192, 0.0, 0.0, 0.0, 0.0
193, 0.0, 0.0, 0.0, 0.0
194, 0.0, 0.0, 0.0, 0.0
195, 0.0, 0.0, 0.0, 0.0
196, 0.0, 0.0, 0.0, 0.0
197, 0.0, 0.0, 0.0, 0.0
198, 0.0, 0.0, 0.0, 0.0
